char_id,vn_id,role
907,1322,primary
907,5937,appears
908,1322,main
909,93,appears
910,1322,primary
911,1322,primary
912,1322,primary
913,1322,primary
914,1322,side
915,1322,side
916,1322,side
917,1322,side
918,1322,side
919,1322,side
920,1322,primary
921,1912,main
922,972,primary
922,1327,primary
923,972,primary
923,1327,primary
924,972,primary
924,1327,primary
925,972,primary
925,1327,primary
926,972,primary
926,1327,primary
927,1912,primary
928,1483,main
929,1483,primary
930,1912,primary
931,231,main
931,234,main
932,231,primary
932,234,primary
933,231,primary
934,231,primary
935,231,primary
935,2016,appears
936,231,primary
936,234,side
937,231,side
937,234,side
938,1483,primary
939,10,primary
939,70,main
939,1542,side
939,18736,side
939,18738,side
939,18739,side
940,10,main
940,18738,side
941,70,main
941,18736,primary
942,1912,primary
943,2231,main
944,2231,primary
945,2231,primary
946,2231,side
947,1483,primary
948,1483,primary
949,1266,primary
950,1266,main
951,1266,primary
952,1266,primary
953,1266,primary
954,963,main
955,963,primary
956,963,primary
957,963,primary
958,963,primary
959,963,primary
960,963,primary
961,963,primary
962,963,primary
963,4037,primary
964,4037,primary
965,4037,primary
966,4037,primary
966,15874,appears
967,5609,primary
968,5609,primary
969,5609,primary
970,5609,primary
971,5609,primary
972,3185,main
973,3185,primary
